text,label,length
I noticed a charge on my account that I wasn't expecting. Can you help me figure out what it is?,billing,96
Can you explain why there's an extra fee on my latest bill? It's not something I'm familiar with.,billing,97
"I looked at my payment history, and it seems like I was billed for a service I didn't use. What's going on?",billing,107
"Hey, I got my invoice and it's way higher than usual. Can you check that for me?",billing,80
I think I'm being charged for two subscriptions when I only signed up for one. Can you clarify?,billing,95
Could you send me a breakdown of my last invoice? I need to understand the charges better.,billing,90
"Ugh, I can't believe I was billed for something I thought was a free trial. Can I get that refunded?",billing,100
"I just noticed that my monthly fee seems to have gone up, and I’d like to understand why. Thanks!",billing,97
I’ve got some questions about the recent charges on my account. Can we go over them together?,billing,93
I accidentally made a duplicate payment this month. What’s the process for getting one of those refunded?,billing,105
I really don’t understand the charges on my latest invoice. Can someone explain them to me in simple terms?,billing,107
Can you help me with a discrepancy in the billing amount? It doesn’t match what I was quoted.,billing,93
"My service stopped working, but I was still charged for it. How do I address that?",billing,82
I need help with my billing statement; there are charges for services I didn't sign up for!,billing,91
There’s a recurring charge on my account that I want to dispute. How do I go about that?,billing,88
Why did my subscription fee double this month? I wasn't notified about any changes.,billing,83
"I just got a notification about my payment, and I have a few questions about the amount. Can you assist?",billing,104
I want to clarify what the 'late fee' on my bill is for. I thought my payment was on time.,billing,90
"I made a payment last month, but it hasn't been reflected on my account yet. What’s up with that?",billing,97
"I signed up for a service at a certain rate, but my latest bill shows a different amount. Why is that?",billing,102
I'm confused about my invoice—it lists services I never ordered. Can you help me clear this up?,billing,95
I believe there’s a mistake on my bill. Can you review it and confirm what I should actually owe?,billing,97
"My last charge seems unusually high, and I’d like to know if there’s been an error somewhere.",billing,93
"I received an email stating my payment was unsuccessful, but I’m pretty sure I paid. What gives?",billing,96
Can I get a detailed explanation of the various fees included in my subscription? It's a bit unclear.,billing,101
I just noticed an extra charge on my account. Can you help me sort this out?,billing,76
My last bill was way higher than usual. What’s going on?,billing,56
"I need clarification on a charge from my last invoice, can someone explain it to me?",billing,84
Is it possible to get a detailed breakdown of my recent charges?,billing,64
I was expecting my bill to be lower this month. Why was it so high?,billing,67
I didn't receive my refund for the canceled service. Can you check on that?,billing,75
Could you help me understand why there are two separate charges on my statement?,billing,80
I see a subscription fee that I didn’t authorize. What do I do?,billing,63
Can I contest a charge that I believe was made by mistake?,billing,58
I'm confused about the pricing of my subscription. Can you clear that up for me?,billing,80
"Can I get a copy of my invoice for this month, please?",billing,54
I think I’ve been billed for a service I didn’t use. Can you verify that for me?,billing,80
I’m not sure why I'm being charged tax on my bill. Can you explain?,billing,67
I don’t remember agreeing to this pricing plan. Can you look into it?,billing,69
I need to know when my billing cycle starts and ends. Help!,billing,59
There’s a payment on my account that I don’t recognize. Can you assist?,billing,71
"I’d like to request an adjustment on my last invoice, it seems off.",billing,67
I’ve been double-charged for my subscription this month. What’s going on?,billing,73
My recent invoice doesn’t match what was discussed. Can we review it?,billing,69
Why did I receive a late fee when I paid on time?,billing,49
I want to know if there are any upcoming charges I should be aware of.,billing,70
I can't find my billing history online. Can you send it to me?,billing,62
I’d appreciate it if someone could explain the recent charges to me.,billing,68
I’m trying to figure out how to reduce my monthly bill. Any tips?,billing,65
I need help understanding the various fees on my invoice.,billing,57
I noticed an extra charge on my credit card this month. Can you help me figure out what that's for?,billing,99
I'm trying to understand why my subscription cost went up. Can you provide some details?,billing,88
I just received my invoice but it doesn't match what I expected. What should I do?,billing,82
Can you explain the charges on my statement? I don't recognize some of them.,billing,76
"Hey, I think I've been double-billed for my service this month. Can you check that for me?",billing,90
I want to dispute a charge from last week. It seems incorrect to me.,billing,68
Could you clarify the payment terms for my subscription? I'm a bit confused.,billing,76
I was charged for a service that I didn't use. Can I get that removed?,billing,70
"My payment didn't go through last month, but I did make it. Can you find out what happened?",billing,91
Is there a way to get a detailed breakdown of my invoice? I need to see all the charges.,billing,88
I accidentally paid for a service I didn't mean to. What’s your refund policy?,billing,78
Can you help me with understanding the new pricing structure? I have some questions.,billing,84
I see a late fee on my bill that I don’t think is fair. Can you assist me?,billing,74
What are my options if I want to lower my monthly bill?,billing,55
I was charged for a service I cancelled. Can I get that money back?,billing,67
I need to know when my next payment is due. Can you check that for me?,billing,70
Help! I can't find my last invoice and I need to review it for discrepancies.,billing,77
"I recently updated my payment information, but I was still charged the old amount. What's going on?",billing,99
Can you tell me if my subscription includes all the features listed on the invoice?,billing,83
Why did my account get suspended over a billing issue I wasn't aware of?,billing,72
I think I've paid for my subscription multiple times this month. Can someone look into it?,billing,90
Can you let me know what the additional charges on my last invoice were for?,billing,76
Why is my bill higher than usual this time? I'm really confused about it.,billing,73
"I was promised a discount, but I don’t see it reflected on my invoice. Can you explain?",billing,87
Could you send me a copy of my last payment receipt? I need it for my records.,billing,78
I don't understand why there's a late fee on my bill this month.,billing,64
Can you explain the charges on my latest invoice? They don't match what I was expecting.,billing,88
I think I was overcharged for my subscription this period; can you look into it?,billing,80
What do I need to do to get a copy of my last invoice?,billing,54
I'm seeing a charge I didn't authorize. What can be done about that?,billing,68
My account was billed for a service I didn't use. Can I get that amount refunded?,billing,81
Why did my subscription fee go up without any notice?,billing,53
I noticed an additional charge on my credit card statement; can you clarify what that is for?,billing,93
Could you help me understand the breakdown of my latest bill? It's confusing.,billing,77
"I was supposed to receive a discount on my plan, but it's not reflected on my bill.",billing,83
Can you assist me in disputing a charge that looks incorrect?,billing,61
I think I signed up for a lower rate; why is my bill higher?,billing,60
I need help understanding why my recurring payment changed this month.,billing,70
Is there any way to get a refund for the extra charge on my account?,billing,68
My invoice is missing some details; how can I get that fixed?,billing,61
I’m really frustrated because I was billed after cancelling my subscription.,billing,76
There seems to be a discrepancy with my payment and the amount due; can we sort this out?,billing,89
Can I update my payment method to avoid future billing issues?,billing,62
Why can't I find my payment history in my account dashboard?,billing,60
"I received a notice that my bill is due, but I thought I paid already. Can you check?",billing,85
I'm curious about how often billing occurs; can I get more details?,billing,67
There's a charge labeled 'service fee' that I don’t recognize. Can you explain that?,billing,84
Why do I see two different amounts for my subscription this month?,billing,66
I accidentally made a double payment; how do I go about getting that refunded?,billing,78
Could you remind me when my next payment is scheduled?,billing,54
I’d like to verify if my payment went through for last month’s bill.,billing,68
I don't understand why my credit card was charged this month when I thought my subscription was paused.,billing,103
Could you help me figure out why there’s a late fee on my invoice? I paid on time.,billing,82
I just noticed an extra charge on my statement. What is that for?,billing,65
Can you explain the breakdown of my recent bill? I want to know what I'm being charged for.,billing,91
I was expecting a refund for my last purchase. When will it be processed?,billing,73
Is there a way to see previous invoices? I need to check something from last quarter.,billing,85
I was charged for a service I didn’t use last month. Can I get that reversed?,billing,77
"My account was billed twice this week, and it’s really frustrating! What can be done?",billing,85
Can you tell me the payment due date? I want to make sure I don’t miss it again.,billing,80
I noticed my monthly subscription fee went up without any notification. Why is that?,billing,84
"Hey, my invoice for this month seems way higher than last month. What’s going on?",billing,81
