ticket_text,category_id,group_id,cluster
work experience user work experience user hi work experience student coming next his name much appreciate him duration thank,internal_it::Access,746b81ebcbbe51c2deacb43ea74185694b89d5558e3d9b4b8f75810af92c69d0,13
mail please dear looks blacklisted receiving mails anymore sample attached thanks kind regards senior engineer,internal_it::Miscellaneous,9a77fe99434ded6706b5d2be70314174f73c17071ebdd3052cb4288459e9e2ee,45
prod servers tunneling prod tunneling va la tunneling la host si la si host host cards port name bytes bytes seq bytes seq statistics packets transmitted received packet loss avg bytes bytes seq bytes seq tuesday pm acre re tunneling si pm acre re tunneling extended object host extended host extended object host range extended host range administrator re sector pm acre re tunneling va la si la tunneling design lead ext friday pm re tunneling va extended object host extended host administrator re sector pm tunneling va la tunneling users pinging bytes bytes bytes bytes bytes design lead ext con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,internal_it::Hardware,22396a30d5c66fec188e7f19c94c9e032e95b234067e526cedf349f5072a09fa,32
access request dear modules report report cost thank much regards,internal_it::HR Support,d53d860ec3ccd3da6228d07c6c8bfef60dc2a49b8ebf3af6d0cacf49a5a8ac88,34
device recovery report printer alert duplex unit is not set device recovery report printer duplex unit printer details detected tray tray copier details detected tray scanner ready details model name device name comment host name printer name print name file name printer name zone name name computer name share name device printer printer notified,internal_it::Miscellaneous,0279d12626a68d1dc7fa5493ab76dbbd9faac91c13434350a48bee1561650fc9,31
system hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,internal_it::Purchase,6cbd90633e91b3d3349faca4f41c46ce8cd37346e91199884473fa4f24ae9664,7
access for secondary secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst,internal_it::Access,89094f1de39bcd426bf752206f1a0079ff01e487322cb8b26fd2bafe3bbccf4e,58
list sent copy copy hi receive copy behavior expect receive myself thanks front developer,internal_it::Purchase,1905208a1b94a5a6a3588f8a65038a9498bca9b4f22304c589ea833a4ccf9556,13
invitation to cloud strategy workshop february manchester invitation strategy workshop february manchester workshop forward colleague results campaign workshop reminder content workshop reminder ca cs dad ca trouble viewing view results campaign workshop reminder content workshop reminder cs dad ca assets images azure cs dad ca azure join cs dad ca manchester discuss journey unleash benefits powered by azure workshop control optimise strategy tickets cs dad ca february discussing best working opportunities digital give tools how embrace perfect environment wednesday february where sir busby way manchester further information found control optimise strategy tickets cs dad ca please note places join workshop manchester february control optimise strategy tickets cs dad ca make february workshop interest march where street campus birmingham join workshop birmingham control optimise strategy tickets cs dad ca assets images footer cs dad ca action campaign workshop reminder content workshop reminder ca cs dad ca road bb sr,internal_it::Hardware,c64be2bfc876d093a274ed0ab043f25a978534e928ad89d81b2e59953e37b740,7
direct reports list to be amended oracle reports amended hello please call best regards reports amended hi guys please help match correctly too reports find please attached please move he right attached these move thank,internal_it::HR Support,01b8c852fb9a7ea7a6dee69adf9167ca98cf7dc3c625d6a19290ae350acb80b7,63
adding new printer xerox on th floor printer floor hi tried add printer floor show printers add manually help required steps thanks director central,internal_it::HR Support,0e5993a9adbf1ed756ca566fda212e44bca6d635db21716798ed7c0b579eddf1,31
system re hello please make injector device device pm hello movement has left available device please kind device denmark copenhagen denmark please source quotation shipping by lead,internal_it::Purchase,ddcf3f63df26799de87cb62e35e95b4b44325dde0e56ac6d319ebefe55b0e32b,7
opportunity into pas known pipeline opportunity known pipeline hi please import bellow opportunity known pipeline opportunity id thanks officer,internal_it::Internal Project,d43a0da8a8af577e9f84a909cb6f8207b6eed2e45db5fce5832cfcca5ec862c9,48
need new hi guys please details hosted building hyper infrastructure location mandatory since client accept his other than machine operating newer purposes cpu disk worry about partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,internal_it::Hardware,aa1407e88094ff60929a6a5b55e5c5c5e12154a2002f8c35a4899eab6265ba7e,63
clone self service dashboard clone self dashboard hello writing ask help cloning self widget report snow profile onto profile reason requesting uses these reports monitor tickets logged self best interest report available within consider needs also added each member profile sd specialists please liaise please note by snow kind regards engineer mobile,internal_it::Miscellaneous,2ba5da57755d1cbf9a1b8bc141bf204cc1f61fc653247a94bfba48933a6c2fe1,34
remove from re hi part sector owners right how name added part sector please owners thank kind regards,internal_it::Miscellaneous,f8cb4bcb0d8570c89ca811ca6512f319df05684f600fac450ef994f5f5d951aa,5
job title job title hi note title treasury while please ask thanks mobility officer,internal_it::HR Support,fdb782d250783e40c8c4aabdc490f8eb8b2690b91ba255e4637d32447dfb07ea,13
storage access storage hello please storage order setup environment regards engineer mob,internal_it::Storage,fcfbad146864ecd3759ee2d09134215e08d214191c73b8098ba864a78d56a499,17
access for review contract setup re review contract setup hi please assign thank engineer review contract setup dear kindly ask give report review contract setup add report column which shows creator created by each contract background contracts setup prod needs overview contracts created prod persons created these contracts prod billing important has setup contracts going friday tried extract information name person has created contract find updated by column persons information kindly well about other members report picture think helpful call matter thank help great analyst,internal_it::Miscellaneous,aa44dfdef2fb16972fa7f60a4bba4d2441a788892911d40ca00fbe40e8f00135,7
report for report hi please inform mentioned user forbidden well cracks please cracked best regards monitoring analyst,internal_it::Access,66fadd620d163dde8dcb88dc2500342a5d3953003c20870865fac01f09a3c44c,34
access to folders folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,internal_it::Storage,99a94e39115f606bed4a08c88ea3a4b930b77c0e667e5d1bc98f841c5fe89492,17
