ticket_text,category_id,group_id,predicted_category
network access hello received workstation granted ad please help thanks,internal_it::Hardware,0cfb76ccf0f81bf6477fb1a2120e1c0b1a29454ded47d5f8bc4d3ecce7022e8d,internal_it::HR Support
revise access to location revise location hello please revise location users left please find attached also clear additional users contributors role collection attached additional contributors picture view please regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has,internal_it::Access,033f17de59d6a7bd4c56ef253d1f3b393f85915746afcf397c66f084e2b7fc7d,internal_it::Hardware
access to test test hi please has user name seems he connect thank friday test hi today found he has test cases user name please help rights same thank thursday december accounts has assigned hi thank ask everything works thank wednesday december pm re accounts has assigned hi added same roles has same rights please everything works side questions hesitate best regards engineer wednesday december pm accounts has assigned please advised record number has assigned please review details take appropriate action description accounts hi thank providing seems he misses test cases module he same rights more details regards wednesday december pm accounts hi found enter he has please help rights same created by same thank wednesday december accounts hi status credentials received granted work credentials received cannot accessed without certificates received delayed join probably tomorrow wrote best regards wednesday december accounts hi please accesses working thank tuesday december pm accounts hi credentials sorry delay forwarding these details thank friday december accounts hello please advised ad accounts created display name display name assist please let best regards analyst ext hub summary accounts number priority moderate assignment location center please link attachments image image kind regards ref msg,internal_it::Access,ad5d6501471dbfc508fabeeefb96af7f715d8271b423f89cc84013097e9d78e6,internal_it::Hardware
access to for new people hello please add both cheers thursday hi please thanks portfolio test change homeworker ground floor south down st marks court chart way rh mobile please consider environment printing planned leave march july re hi far resources provided approved re shout today talk procedure testing rd party sort cheers portfolio test change homeworker ground floor south down st marks court chart way rh mobile please consider environment printing planned leave march july re required then supplied by discipline lead deal equipment deals testing therefore think deal entirely convinced require accessing infrastructure say because has understand provide test information well wrong out date think worth checking regards owner floor st marks rh mobile re mean charge sorting out tuesday pm re please which tester therefore ongoing approvals follows tester both regards owner floor st marks rh mobile re hi created requested users confluence update accounts ready senior engineer hi having joining which please consider creating user providing instructions how connect also nationwide confluence display regards originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after originated please detailed disclaimer has automatically added by gateway comply requirement arrived via cautious about origin content replies which contain sensitive information contractual obligations particularly vulnerable these cases adequate employed questions please speak please consider environment printing proud responsible corporate responsibility registered wales st court chart way west rh by regulation authority regulated by conduct authority regulation authority protection calls recorded monitored information confidential copied by intended received error please immediately by returning please delete disclose contents anyone responsibility accepted loss damage arising viruses changes made after,internal_it::Hardware,0ce98c2c84683e3c1ebd6f443f6674a9973d07789660059b8561637e1c01b848,internal_it::Access
database check database hello please log assign order create daily database index kind regards senior engineer,internal_it::Access,97f11109c628d58c225e2d49f1256b9eace0dac054eb5ee1af232dfe5e0691aa,internal_it::Hardware
remove unused report from unused report hello please rise assign assignment pm hello ore pm nope pm hello test pus si backlog engineer,internal_it::Hardware,312dbb3db933ea9acf35580318fb8efbcaf5a146669d67e252e2a8e3ac9882d8,internal_it::Miscellaneous
access mills hi had training unable please help best regards specialist users library containers library caches signatures signature,internal_it::Storage,ee4bb8e0c6448c5d51db9e0091bb4ac8f0cbab970e2b6dba2bce6163fef935c2,internal_it::Hardware
badge badge hello please help regarding issue morning work enter floor door badge certain period please enlarge period come morning around thank much best regards ledger street center,internal_it::Access,2cd458448e0cb4fa50f1c2857d6106e25598141cc904f40f4584084b641f7bd3,internal_it::HR Support
pas ownership on collaboration ownership collaboration dear required privilege mentioned code pm together pm thanks client,internal_it::Internal Project,dce00d7f11d4b78ea49f2ee2a5244a1a9d1d172c6df537ff741f561db8f8025d,internal_it::Miscellaneous
po template changes po template changes hi please thank engineer wednesday pm re po template changes hi had few updates these final ones fingers crossed moving please ensure po reference quoted invoice order avoid delays down decimal points decimals item price po terms conditions format justified layout example attached word doc possible align total under ordered appreciate cheers re po template changes hi done please regards friday december pm re po template changes hi attached contains more changes text please ensure po reference quoted invoice order avoid delays red better visibility bring quantity description pricing item description attached example cheers december re po template changes hi made requested changes please about po language templates each best regards engineer tuesday december pm re po template changes hi reviewed po amendments hard code text please ensure po reference quoted invoice order avoid delays center deliver name word promised text requested promised dates correspond date arrival location under words price ordered next figures example thanks december re po template changes hi modified po template test example screen also test phone entity please thanks wednesday december pm po template changes hi follow instructions amend po template test instance accordingly attached copy template currently questions please let hi kind enough change cheers thursday october pm re po template changes hi work progress moment po template extent his best tweak things around changes suggested ones presented attached please let concerns respect points addition phone under section intention automatically these by near future text saying invoice rejected po number reference please ensure po reference quoted invoice order avoid issues invoice processing mandatory po please ensure po reference quoted invoice order avoid delays removal promised date requested date po which currently disrupting way po displays items addition inside po against each possible bottom table avoid confusion raised about localization change po language depending entity which also explored agree important countries please let wish drop by further detail thanks kind regards thursday october re po template changes hi guys progressed action kind regards head wednesday pm re po template changes hi attached po which help format thanks po template changes hello per discussion morning interested find out further customize po template version extremely hard too lengthy attached sample file outcome produce by per discussions back few points wanted cover were addition phone under section intention automatically these by near future text saying invoice rejected po number reference mandatory po removal promised date requested date po body highlighted yellow addition inside po table avoid confusion etc kind regards,internal_it::Purchase,8271fc42e096163dcb5f6ae1a32da48ad95aee7d58d90d403511ee707612dbb0,internal_it::Hardware
